,0
0,ልብ
1,ወለድ
2,ድርሰት
3,ውሀ
4,ጭምር
5,ዘበናይ
6,አዲስ
7,ድርሰት
8,ኦሮሞ
9,ልምድ
10,ሌላ
11,ያ
12,ፍትህ
13,መንግስት
14,መለስ
15,መንግስት
16,በረከት
17,በላይነህ
18,ደራሲ
19,እኔ
20,ዘመን
21,ምርጥ
22,ክቡር
23,እድል
24,ደህና
25,ልጅ
26,ዜና
27,ምርጫ
28,በጋ
29,ክረምት
30,ኢትዮጵያ
31,ውነተኛ
32,ብሄራዊ
33,አዙሪት
34,ሆማ
35,ቀኖ
36,አቋም
37,ብልጽግና
38,አራት
39,ድርጅት
40,ጋራ
41,ሀብት
42,ህግ
43,ሀሰተኛ
44,ድምጽ
45,አል
46,ሚዲያ
47,ሰአት
48,ቤት
49,አል
50,ምርጫ
51,ህዝብ
52,ባለ
53,እቅድ
54,ስብሰባ
55,አቋም
56,ብልጽግና
57,ፓርቲ
58,ጋራ
59,አመት
60,ግፍ
61,ቀድሞ
62,ኢትዮጵያ
63,አባል
64,ፍርድ
65,ቤት
66,ካሳ
67,ህግ
68,ኢትዮጵያዊ
69,አገር
70,ወራሪ
71,ዛሬ
72,ውስጥ
73,አገር
74,ሴት
75,ልጅ
76,ወንድም
77,ውጤት
78,አበባ
79,ሞባይል
80,መኪና
81,አዲ
82,ቤተሰብ
83,ማህበረሰብ
84,ሰዋሰው
85,ማህጸን
86,ፍሬ
87,ወርቁ
88,እርግጥ
89,ድምዳሜ
90,ቢሮ
91,አይን
92,ድምጽ
93,እኛ
94,ቀን
95,ጸጋዬ
96,ኦሮሚያ
97,ሶስት
98,ፓርቲ
99,ጥምር
100,መንግስት
101,ህዝብ
102,ፍቃድ
103,ፈገግታ
104,እናት
105,ያቺ
106,ቀን
107,አል
108,ግልጽ
109,ጥያቄ
110,አማራ
111,ሴት
112,አማራ
113,ኦሮሚያ
114,አንድ
115,ሰው
116,ቅሬታ
117,እምነት
118,ተቋም
119,ጥቃት
120,ሞራል
121,ውድቀት
122,አል
123,አማራ
124,ሞራል
125,ውድቀት
126,አማራ
127,ጠንካራ
128,ስራ
129,ህይወት
130,ምሳሌ
131,ተስፋ
132,መሪነት
133,ደሴት
134,አህመድ
135,አሊ
136,እኛ
137,ልጅ
138,ወላጅ
139,ነፍጠኛ
140,አስተሳሰብ
141,ነፍጠኛ
142,ግብ
143,ምን
144,ድንቅ
145,ትምህርት
146,አገልጋይ
147,ዮናታን
148,አክሊል
149,ሀዋሳ
150,ህዝባዊ
151,ስብሰባ
152,መሀሪ
153,ስም
154,ቫይረስ
155,ጤና
156,አለም
157,ጤና
158,ድርጅት
159,ዳይሬክተር
160,አድሀኖም
161,ቫይረስ
162,ደረጃ
163,ቻይና
164,ሀገር
165,ፍጥነት
166,አል
167,ትግራይ
168,ሀሳብ
169,መቃ
170,ትግራይ
171,ናስ
172,አንድነት
173,ምን
174,አንተ
175,ውሻ
176,ህይወት
177,ድንግል
178,አንድ
179,ወንድ
180,ንብ
181,ለም
182,ወንድ
183,ንብ
184,ድንግል
185,አንዴ
186,ስህተት
187,ይቅርታ
188,ወያኔ
189,ኢትዮጵያ
190,እውቀት
191,ኤርሚያስ
192,ማንነት
193,አንተ
194,ራስ
195,ራስ
196,ክልል
197,ግልጽ
198,አቋም
199,ሞጣ
200,ክልል
201,ሙስሊም
202,ከፋ
203,ጭቆና
204,ይቅርታ
205,ምን
206,ወለጋ
207,ሀገር
208,ግብ
209,ማን
210,ሀሬ
211,ዜጋ
212,ወንድ
213,ኦሮሞ
214,አባት
215,ግድ
216,ቦታ
217,በአል
218,ገበያ
219,ምርት
220,እጥረት
221,ዋጋ
222,ውድነት
223,ዘይት
224,ዱቄት
225,ጥረት
226,ድጎማ
227,ዘይት
228,ዱቄት
229,ብልጽግና
230,ፓርቲ
231,ህገወጥ
232,ፓርቲ
233,ብልጽግና
234,አዲ
235,ህገወጥ
236,ጥገኛ
237,ፓርቲ
238,አማራ
239,ክልል
240,መንግስት
241,በር
242,አባት
243,ፖለቲካ
244,አመራር
245,እድር
246,ማህበር
247,ሰሞን
248,አዲ
249,አበባ
250,ቤት
251,ጥያቄ
252,ቀድሞ
253,ካርታ
254,ካርታ
255,ከተማ
256,ከንቲባ
257,ትእዛዝ
258,ካርታ
259,ቦታ
260,ፍርሀት
261,ብዙ
262,ሞት
263,እጦት
264,ማን
265,ሞት
266,ገንዘብ
267,ንዋይ
268,አሰቃቂ
269,ቀን
270,እስዎ
271,ደስታ
272,ሰው
273,እጅ
274,ዘገምተኛ
275,ሞት
276,ክልል
277,ግንኙነት
278,ረቂቅ
279,አዋጅ
280,አንድ
281,ክልል
282,መንገድ
283,ቢሮ
284,ሚኒስቴር
285,ጎንደር
286,ከተማ
287,ምስራቅ
288,ጎጃም
289,ዞን
290,እውቅ
291,ዘንድሮ
292,ፒዛ
293,ወንድ
294,ዶሮ
295,ተአምር
296,ኢትዮጵያ
297,ተአምር
298,ኢትዮጵያ
299,ልቅ
300,አፍ
301,መሀል
302,ልዩነት
303,እንዳለ
304,ህክምና
305,አጼ
306,ሰራዊት
307,ኦሮሚያ
308,ልዩ
309,ፖሊስ
310,ወለጋ
311,ኦሮሞ
312,ኦሮሞ
313,ከፋ
314,አውሬነት
315,ለም
316,እባብ
317,በረት
318,እውነት
319,አለም
320,ውድ
321,ቦታ
322,ህንጻ
323,ክርስቶስ
324,ምን
325,ምን
326,ሰው
327,አእምሮ
328,ትህትና
329,ጥግ
330,ቴሌኮም
331,በጀት
332,አመት
333,እቅድ
334,ሁለት
335,ቀን
336,ስጦታ
337,ደምበኛ
338,አማራ
339,ገደል
340,ዘመን
341,ኢትዮጵያዊ
342,ኦሮሞ
343,መሪ
344,ውጥንቅጥ
345,ሀገር
346,አስመሳይ
347,በግ
348,ቢራ
349,ፍራሽ
350,አልታየ
351,ሊግ
352,ቁንጅና
353,ቅጥነት
354,ቁመት
355,ቁንጅና
356,ጥሩ
357,አማራ
358,ሆድ
359,ዲሞክራሲ
360,ነጻነት
361,ራስ
362,ሰው
363,ልጅ
364,ነገር
365,ምን
366,ደረጃ
367,ጊዜ
368,ሀገር
369,እኛ
370,ጊዜ
371,አለም
372,ኤድስ
373,ቀን
374,ህብረተሰብ
375,መሪ
376,ቃል
377,እነብሴ
378,ሳር
379,ምድር
380,ወረዳ
381,እሱ
382,ልዩነት
383,ችግር
384,ዛሬ
385,ጉዳይ
386,ሁለት
387,አመት
388,ፌዴራል
389,መንግስቱ
390,ብሄር
391,መንግስታዊ
392,መዋቅር
393,ሽብር
394,ሰአት
395,ጐን
396,እውነት
397,አንዳንድ
398,ደቂቃ
