,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,ድሮ,ተሸምድደው,በቀላሉ,ይንበለበሉ,ኢህኣዴግ,ልብ,ወለድ,ድርሠቶች,ይሀው,ውሃ,በላቸው,በህወሀት,አንጋፋ,ካድሬዎችም,ጭምር,ተረሡ,ደግሞ,ዘበናይ,ካድሬዎች,አዳዲሥ,ድርሠቶችን,,,,,,,,,
1,ኦሮሞ,ልምድ,የለውም,ካልን,ሌላውም,ያው,ዋናውነገር,ፍትህን,ማውረድነው,መንግሥቱሥ,የትልምድ,ኦሮሞች,አሥተምረውት,አይደል,መለሥሥ,መንግሥት,መራ,ያውምሁሩ,አይደል,የረዳው,አትማሩም,ለማለት,አልናባብም,አይቆንጆ,ትምክት,,,,,
2,በረከት,በላይነህ,የእያዪ,ፈንገሥ,ትያትር,ደራሢ,ገራሚ,ገጣሚ,ለኔ,የዘመናችን,ምርጥ,,,,,,,,,,,,,,,,,,,
3,ክቡራት,ክቡራን,ለተሠጠን,እድል,እናመሠግናለን,ደህና,እደሩልኝማ,,,,,,,,,,,,,,,,,,,,,,,
4,አንች,ልጅ,ያንን,የዩትዩብ,ቻናልሽን,አትጭኝበትም,ተይ,ዜናም,አንብቢበት,ተይ,,,,,,,,,,,,,,,,,,,,
5,ልድገመው,ምርጫው,ተራዘመም,አልተራዘመ,በበጋም,ተደረገ,በክረምት,በኢትዮጵያ,እውነተኛ,እርቅ,እሥካልተደረገና,ብሄራዊ,መግባባት,እሥካልመጣ,ድረሥ,አዙሪቱ,መቀጠሉ,አይቀርምእሸቱ,ሆማ,ቀኖ,,,,,,,,,,
6,ህወሃት,በአቋም,መግለጫ,ብልጽግናን,አልቀላቀልምእኔን,ጨምሮ,አራቱ,ድርጅቶች,በጋራ,ያከማቹትን,ሃብት,በህግ,አግባብ,እጠይቃለሁ,ብላለች,,,,,,,,,,,,,,,
7,ሀሠተኛ,ድምጽ,የሚያሠሙ,ሚዲያወች,እንዳሉ,ሚዲያ,ሾፒንግ,እሣት,የላሡ,ተሣዳቢወች,ያዘጋጁ,በየ,ቤቱ,ተደራሽ,ለማድረግ,እየሠሩ,እንዳሉ,ለምርጫ,ይመች,ከህዝብ,መክረን,ብለው,ከሚያልፍ,ፖርቲወች,ባለን,እቅድ,,,,
8,ህወሀት,ኢህአዴግ,በክህደት,ነዉ,የፈረሠዉ,የህወሀት,ጉባኤተኞች,ማምሻውን,አሥቸኳይ,ሥብሠባቸውን,ሢጠናቀቁ,ባወጡት,የአቋም,መግለጫ,ኢህአዴግ,በክህደት,ፈርሷል,ብልጽግና,ከተባለው,ፓርቲ,በጋራ,ለመሥራት,አንችልምም,,,,,,,
9,ህወሀት,አመት,ሀገሪቿን,ሢመራ,ግፍ,የተፈጸመባቸው,ዜጏች,የቀድሞ,የኢትዮጵያ,መከላከያ,ራዊት,አባላትንም,ጨምሮ,ህወሀትን,ፍርድ,ቤት,በመውሠድ,ለተፈጸመባቸው,ኢሠብአዊ,ግፍች,ካሣ,እንዲከፍላቸው,በህግ,መጠየቅ,ይኖርባቸዋል,,,,,
10,ኧረ,ባውቀው,አሥጠየቀኝ,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ኢትዮጵያዊ,ሁላችንንም,የሚያኮራን,አገራችን,በጠላት,ወራሪ,ተደፍራ,ቅኝ,አለመገዛቷ,ዛሬ,ግን,በውሥጥ,ባንዳዎች,አገራችን,ሥትደፈር,ማየት,ሤት,ልጅ,በወንድሟ,የመደፈር,ያማል,,,,,,,,,
12,የነውጡ,ውጤት,በኣዲሠ,ኣበባ,ውሠጥ,የሞባይል,ቅምያ,የመኪና,ዝርፍያ,ሁነዋል,ቻሉት,ቻው,ሤላቪ,,,,,,,,,,,,,,,,,
13,አዎ,እዲህ,ዱን,አዲህ,ሩህሩህ,ዲናችን,ሊያጠፉት,ይመኛሉ,የኢያ,ክርታኖች,አብሮ,መኖር,የማይፈልጉ,አሸበሠሪዎችናገዳዮች,,,,,,,,,,,,,,,,
