,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,ልዩ,የተፈጥሮ,ገጽታ,የምስራቅ,አፍሪካ,የውሃ,ማማ,ጮቄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ማንም,የሀገሩን,ጥቅም,አሳልፎ,አይሰጥም,መላጣ,ነአ,የሻቢይን,ይሁንታ,ለማግኘት,ሀገሪቱን,የባህር,አሳጥቷታል,ታምራት,እውነታውን,ባወራ,እርር,ማለት,አመጣው,ሚሊዮኖች,አብረውት,,,,,,,,,,,,,,,
2,ብጄ,አሳምነው,ጽጌ,ከምክትል,ጠሚ,ደመቀ,በሱዳን,ጉብኝት,አልበሽር,ያሉትን,ለተመስገን,እንደነገረው,ለእኛ,ጥሩ,ጎረቤታችን,ናት,ከህወሀት,ግን,ቤተሰብ,ነን,,,,,,,,,,,,,,,,
3,"""ትልልቅ",የነዳጅ,ፍጆታ,ተሽከርካሪዎች,ከአየር,ብክለት,አኳያ,በነዳጅ,ወጪም,ረገድ,ተለይተው,ኤክሳይዝ,ታክሱ,ሊጣልባቸው,እንደሚገባ,በሊትር,ኪሎ,ሜትር,በሚነዱት,የተለየ,አተያይ,እንዲኖር,"ጠይቀዋል""",,,,,,,,,,,,,
4,እሺ,ወንድሜ,እተከላለሁ,ማኛ,እኮ,ናት,ወዳታለሁ,ደሞ,ቅና,አሉህ,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ይቺን,አውቆ,ዶር,አብይ,ክርስቲያን,የሆነዋኧረ,ጀንፈሉ,እንጣጥ,እንጣጥ,ዋዋዋ,,,,,,,,,,,,,,,,,,,,,,,,,,
6,የፈለገውን,የመሆን,መብት,ቢኖረውም,መብቱ,የሚወሰነው,ግን,በሚኖርበት,ሀገር,ህጉ,ማኖር,ሲችል,ከመብት,ከእኩልነት,አይገናኝም,ከህግ,,,,,,,,,,,,,,,,,,,,
7,ንነቴ,ኢትዮጵያዊነቴ,ተምታተውብኝ,አያውቁም,የሚል,ይታከልበት,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ለቅዳሚታችሁ,በምትሰሩት,ምሉእነትና,እርካታ,ይሰማችሁ,የአሁንነት,ሀይል,ለመንፈሳዊ,የእውቀት,ብርሃን,መመሪያ,በኤክሀርት,ቶሌየተዘጋጀ,,,,,,,,,,,,,,,,,,,,,,,
9,ኮንዶሚኒየም,እመልሳለሁ,መልሴን,አላባክንም,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ስንታየሁም,ኤልያስ,ፓርላማ,ለመግባት,ያንሳቸዋል,ደግሞ,ይዞ,ፓርቲ,ይመሰረታል,ያለህ,ማነው,መቸም,በእስክንድር,በየምክኒያቱ,ዱላ,የማያነሳ,የለም,በመርህ,የሚመራ,ጽኑ,ቢኖር,አልቆም,አላስቀምጥ,አላችሁት,,,,,,,,,,,,
